Day,RSI,Stochastic Oscillator,Williams,MACD,Price Rate Of Change,On Balance Volume,Close,Buy/Sell
1,2.71700605416,14.7648995331,-85.2351004669,-15.0161104443,-0.00580396467102,1.0148198419e+11,460.160011,Sell
4,2.19458897497,15.9193503776,-84.0806496224,-14.0505653514,-0.0115633526167,1.01077718278e+11,446.060009,Sell
7,1.80400345189,18.3967322354,-81.6032677646,-13.4847101225,-0.0107207905693,1.00700395752e+11,448.970009,Sell
10,1.4159979452,12.9083527261,-87.0916472739,-13.1422454524,-0.0131565940935,1.00327234023e+11,430.470013,Sell
13,1.06045710668,10.9520091595,-89.0479908405,-13.4007762176,-0.0170145182245,99944204905.3,425.659996,Buy
16,0.92334175463,14.0746958085,-85.9253041915,-13.3545527731,-0.00827929789813,99569770302.3,437.869995,Sell
19,0.79400666966,12.9780603486,-87.0219396514,-12.9326170992,-0.00836540960186,99209524727.1,432.499992,Buy
22,13.0369517477,25.3917276495,-74.6082723505,-11.4888132018,0.00655551120585,99578497189.6,454.489975,Buy
25,25.8325050855,51.2114472007,-48.7885527993,-9.26375049219,0.00731676233097,99932002658.7,461.910011,Buy
28,36.400015888,74.0994084088,-25.9005915912,-6.72665586876,0.0069134242113,1.00271230046e+11,452.079987,Sell
31,28.9542655065,50.8927437548,-49.1072562452,-5.40195889975,-0.00943690862649,99941662779.5,429.789997,Sell
34,22.601818303,22.7535271785,-77.2464728215,-5.21394253764,-0.0105621791921,99619307764.3,423.199993,Buy
37,19.5307245201,19.8985053038,-80.1014946962,-5.42874551403,-0.00637449812824,99315468550.8,435.689999,Sell
40,16.6224913936,14.9204611571,-85.0795388429,-5.47522175493,-0.00619568155569,99029360878.0,419.85001,Sell
43,10.9478276621,12.2243821803,-87.7756178197,-6.15444441161,-0.0174944667481,98721230232.3,392.049988,Buy
46,7.83699825287,13.2709542382,-86.7290457618,-7.66840179254,-0.0173942897628,98372440164.8,406.12999,Buy
49,7.03085875355,17.0281375143,-82.9718624857,-8.46489997342,-0.00584070031148,97979960610.1,417.199989,Buy
